温度基准,策略,城市,情景,建筑ID,楼层,夜间总时数,不舒适小时数
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_11_1995_S0,STOREY_1,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_11_1995_S0,STOREY_2,1670,20
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_11_1995_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_10_1980_S0,STOREY_1,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_10_1980_S0,STOREY_2,1670,26
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_10_1980_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_1_1995_S0,STOREY_1,1670,2
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_1_1995_S0,STOREY_2,1670,37
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_1_1995_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_3_1980_S0,STOREY_1,1670,4
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_3_1980_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_12_1980_S0,STOREY_1,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_12_1980_S0,STOREY_2,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_12_1980_S0,STOREY_3,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_12_1980_S0,STOREY_4,1670,4
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_12_1980_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_2_1980_S0,STOREY_1,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_2_1980_S0,STOREY_2,1670,14
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_2_1980_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_6_1995_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_4_1980_S0,STOREY_1,1670,17
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_4_1980_S0,STOREY_2,1670,40
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_4_1980_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_7_1980_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_8_1980_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_5_1980_S0,STOREY_1,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_5_1980_S0,STOREY_2,1670,3
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_5_1980_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_0_9_1980_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_12_2005_S0,STOREY_1,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_12_2005_S0,STOREY_2,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_12_2005_S0,STOREY_3,1670,8
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_12_2005_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_10_1995_S0,STOREY_1,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_10_1995_S0,STOREY_2,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_10_1995_S0,STOREY_3,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_10_1995_S0,STOREY_4,1670,18
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_10_1995_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_1_2005_S0,STOREY_1,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_1_2005_S0,STOREY_2,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_1_2005_S0,STOREY_3,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_1_2005_S0,STOREY_4,1670,8
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_1_2005_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_11_1995_S0,STOREY_1,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_11_1995_S0,STOREY_2,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_11_1995_S0,STOREY_3,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_11_1995_S0,STOREY_4,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_11_1995_S0,STOREY_5,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_11_1995_S0,STOREY_6,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_11_1995_S0,STOREY_7,1670,12
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_11_1995_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_3_2005_S0,STOREY_1,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_3_2005_S0,STOREY_2,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_3_2005_S0,STOREY_3,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_3_2005_S0,STOREY_4,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_3_2005_S0,STOREY_5,1670,22
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_3_2005_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_4_1995_S0,STOREY_1,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_4_1995_S0,STOREY_2,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_4_1995_S0,STOREY_3,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_4_1995_S0,STOREY_4,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_4_1995_S0,STOREY_5,1670,21
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_4_1995_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_2_2005_S0,STOREY_1,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_2_2005_S0,STOREY_2,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_2_2005_S0,STOREY_3,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_2_2005_S0,STOREY_4,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_2_2005_S0,STOREY_5,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_2_2005_S0,STOREY_6,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_2_2005_S0,STOREY_7,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_2_2005_S0,STOREY_8,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_2_2005_S0,STOREY_9,1670,19
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_2_2005_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_5_1995_S0,STOREY_1,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_5_1995_S0,STOREY_2,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_5_1995_S0,STOREY_3,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_5_1995_S0,STOREY_4,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_5_1995_S0,STOREY_5,1670,19
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_5_1995_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_6_2005_S0,STOREY_1,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_6_2005_S0,STOREY_2,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_6_2005_S0,STOREY_3,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_6_2005_S0,STOREY_4,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_6_2005_S0,STOREY_5,1670,25
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_6_2005_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_7_2005_S0,STOREY_1,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_7_2005_S0,STOREY_2,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_7_2005_S0,STOREY_3,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_7_2005_S0,STOREY_4,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_7_2005_S0,STOREY_5,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_7_2005_S0,STOREY_6,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_7_2005_S0,STOREY_7,1670,15
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_7_2005_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_9_1980_S0,STOREY_1,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_9_1980_S0,STOREY_2,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_9_1980_S0,STOREY_3,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_9_1980_S0,STOREY_4,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_9_1980_S0,STOREY_5,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_9_1980_S0,STOREY_6,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_9_1980_S0,STOREY_7,1670,16
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_9_1980_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_8_1995_S0,STOREY_1,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_8_1995_S0,STOREY_2,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_8_1995_S0,STOREY_3,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_8_1995_S0,STOREY_4,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_8_1995_S0,STOREY_5,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_8_1995_S0,STOREY_6,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_8_1995_S0,STOREY_7,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_8_1995_S0,STOREY_8,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_8_1995_S0,STOREY_9,1670,18
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_1_8_1995_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_10_2005_S0,STOREY_1,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_10_2005_S0,STOREY_2,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_10_2005_S0,STOREY_3,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_10_2005_S0,STOREY_4,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_10_2005_S0,STOREY_5,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_10_2005_S0,STOREY_6,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_10_2005_S0,STOREY_7,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_10_2005_S0,STOREY_8,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_10_2005_S0,STOREY_9,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_10_2005_S0,STOREY_10,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_10_2005_S0,STOREY_11,1670,12
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_10_2005_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_11_2005_S0,STOREY_1,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_11_2005_S0,STOREY_2,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_11_2005_S0,STOREY_3,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_11_2005_S0,STOREY_4,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_11_2005_S0,STOREY_5,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_11_2005_S0,STOREY_6,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_11_2005_S0,STOREY_7,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_11_2005_S0,STOREY_8,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_11_2005_S0,STOREY_9,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_11_2005_S0,STOREY_10,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_11_2005_S0,STOREY_11,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_11_2005_S0,STOREY_12,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_11_2005_S0,STOREY_13,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_11_2005_S0,STOREY_14,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_11_2005_S0,STOREY_15,1670,11
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_11_2005_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_12_2015_S0,STOREY_1,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_12_2015_S0,STOREY_2,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_12_2015_S0,STOREY_3,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_12_2015_S0,STOREY_4,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_12_2015_S0,STOREY_5,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_12_2015_S0,STOREY_6,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_12_2015_S0,STOREY_7,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_12_2015_S0,STOREY_8,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_12_2015_S0,STOREY_9,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_12_2015_S0,STOREY_10,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_12_2015_S0,STOREY_11,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_12_2015_S0,STOREY_12,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_12_2015_S0,STOREY_13,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_12_2015_S0,STOREY_14,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_12_2015_S0,STOREY_15,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_12_2015_S0,STOREY_16,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_12_2015_S0,STOREY_17,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_12_2015_S0,STOREY_18,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_12_2015_S0,STOREY_19,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_12_2015_S0,STOREY_20,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_12_2015_S0,STOREY_21,1670,4
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_12_2015_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_2_1995_S0,STOREY_1,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_2_1995_S0,STOREY_2,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_2_1995_S0,STOREY_3,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_2_1995_S0,STOREY_4,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_2_1995_S0,STOREY_5,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_2_1995_S0,STOREY_6,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_2_1995_S0,STOREY_7,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_2_1995_S0,STOREY_8,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_2_1995_S0,STOREY_9,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_2_1995_S0,STOREY_10,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_2_1995_S0,STOREY_11,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_2_1995_S0,STOREY_12,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_2_1995_S0,STOREY_13,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_2_1995_S0,STOREY_14,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_2_1995_S0,STOREY_15,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_2_1995_S0,STOREY_16,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_2_1995_S0,STOREY_17,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_2_1995_S0,STOREY_18,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_2_1995_S0,STOREY_19,1670,20
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_2_1995_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_3_2005_S0,STOREY_1,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_3_2005_S0,STOREY_2,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_3_2005_S0,STOREY_3,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_3_2005_S0,STOREY_4,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_3_2005_S0,STOREY_5,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_3_2005_S0,STOREY_6,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_3_2005_S0,STOREY_7,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_3_2005_S0,STOREY_8,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_3_2005_S0,STOREY_9,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_3_2005_S0,STOREY_10,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_3_2005_S0,STOREY_11,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_3_2005_S0,STOREY_12,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_3_2005_S0,STOREY_13,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_3_2005_S0,STOREY_14,1670,8
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_3_2005_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_1,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_2,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_3,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_4,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_5,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_6,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_7,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_8,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_9,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_10,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_11,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_12,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_13,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_14,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_15,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_16,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_17,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_18,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_19,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_20,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_21,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_22,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_23,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_24,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_25,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_26,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_27,1670,3
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_1_2015_S0,STOREY_0,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_4_2005_S0,STOREY_1,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_4_2005_S0,STOREY_2,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_4_2005_S0,STOREY_3,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_4_2005_S0,STOREY_4,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_4_2005_S0,STOREY_5,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_4_2005_S0,STOREY_6,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_4_2005_S0,STOREY_7,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_4_2005_S0,STOREY_8,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_4_2005_S0,STOREY_9,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_4_2005_S0,STOREY_10,1670,0
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_4_2005_S0,STOREY_11,1670,16
26°C,现状,guang3zhou1shi4,2020 Baseline,guang3zhou1shi4_2_4_2005_S0,STOREY_0,1670,0
